company,position,connected_on,user
Banchile Inversiones,Wealth Management Manager | Private Banking Chile & Edwards,2021-11-11,Camilo
Banca.Me (Techstars '23),Board Member,2021-11-09,Camilo
Banchile Inversiones,Gerente Sucursales RM- Regiones y Segmento Digital,2021-11-08,Camilo
Seminarium / Promap,Head Hunter,2021-11-08,Camilo
VITZANA,Founder,2021-11-07,Camilo
BYU MBA,MBA Candidate,2021-11-05,Camilo
Generadora Metropolitana ,Administrador de Contratos,2021-11-05,Camilo
Fundación Pro Bono Chile,Coordinador Pro Bono y de Género en Cuatrecasas (Chile),2021-11-05,Camilo
"Hospital Militar de Santiago ""Gral. Luis Felipe Brieba Arán""",Facturación Finanzas,2021-11-05,Camilo
"Gutiérrez, Waugh, Jimeno & Asenjo Abogados",Partner,2021-11-05,Camilo
Inversiones Marchigue,Gerente Inversión Inmobiliaria,2021-11-05,Camilo
Mercado Libre,Business Developer Mercado Pago,2021-10-29,Camilo
Go PlanBe,Socio Director Go PlanBe,2021-10-29,Camilo
Calev Consulting,Directora Comercial ,2021-10-27,Camilo
ACAFI (Asociación Adm. Fondos de Inversión),CEO,2021-10-27,Camilo
La Merced S.p.A.,CEO,2021-10-27,Camilo
Tesla,Data Analyst,2021-10-26,Camilo
Siasa Consultores,Partner,2021-10-26,Camilo
Valoral Advisors,Founder and Managing Director,2021-10-26,Camilo
SCAN Chile Inteligencia de Mercado,CEO,2021-10-25,Camilo
Wicuk,Board Member,2021-10-25,Camilo
Guerrero Olivos,Partner,2021-10-23,Camilo
Inversiones Security,Ejecutiva de inversiones,2021-10-23,Camilo
Andes Logistics,Ejecutiva comercial,2021-10-20,Camilo
JLL,Board Member,2021-10-14,Camilo
Ripley Chile,Product Manager,2021-10-12,Camilo
Grupo Nuestros Parques,Board Member,2021-10-12,Camilo
Latam Trade Capital,Senior Latam Risk Analyst,2021-10-10,Camilo
Grupo Cinco Consultores,Partner,2021-10-10,Camilo
PROVEEDORA INDUSTRIAL MINERA ANDINA S.A,Head of Parts and Consumables Department,2021-10-10,Camilo
Corpgroup,Gerente de finanzas | CFO,2021-10-07,Camilo
Zurich Financial Services,Portfolio Manager Renta Fija,2021-10-05,Camilo
Penta Vida,Jefe de riesgo de crédito,2021-10-03,Camilo
SURA Chile,Fixed Income Associate,2021-09-30,Camilo
Banchile Inversiones,Broker Senior Private Wealth Management,2021-09-30,Camilo
Alcaíno Abogados,Abogado asociado,2021-09-30,Camilo
ENTORNO,CEO,2021-09-30,Camilo
Capital Investments,Capital Investments,2021-09-30,Camilo
3L Servicios Financieros,Ingeniero de Proyectos,2021-09-30,Camilo
Cordada,Sub Gerente de Cartera,2021-09-28,Camilo
Provida AFP,Senior Financial Risk Analyst,2021-09-25,Camilo
Providence Capital - Corporate Finance Advisory,Managing Partner,2021-09-25,Camilo
Tyndall Group,Investment Banking Associate,2021-09-23,Camilo
Amazon Web Services (AWS),Senior Solutions Architect,2021-09-21,Camilo
Land Capital - Inmobiliaria e Inversiones,CEO,2021-09-21,Camilo
CronCapital,CEO,2021-09-21,Camilo
Empresas Coipsa,Encargado de La Fragua,2021-09-20,Camilo
Ameris Capital,Subgerente Distribución Institucional,2021-09-20,Camilo
Inmobiliaria Armas,Partner,2021-09-19,Camilo
CIFI,Lead Counsel,2021-09-18,Camilo
KBRA,Senior Analyst,2021-09-17,Camilo
Ameris,Asociada Inversiones Inmobiliarias,2021-09-15,Camilo
Cordada,Head Mexico,2021-09-14,Camilo
EY,M&A - Strategy and Transactions - Manager,2021-09-14,Camilo
Banchile Inversiones,Jefa de Monitoreo y Control,2021-09-13,Camilo
Territoria,Jefe de Desarrollo Inmobiliario,2021-09-10,Camilo
GPS Property,Gerente Finanzas Corporativas,2021-09-09,Camilo
Administradora General de Fondos SURA S.A.,Gerente de Inversión Inmobiliaria,2021-09-09,Camilo
Regnum Christi,Encargado Territorial de Apostolado,2021-09-06,Camilo
Santander Corporate & Investment Banking,Structured Finance,2021-09-06,Camilo
HIVETIRE by HiveSystems,Country Manager & Partner,2021-09-06,Camilo
FREE NOW,Head of Global Pricing,2021-09-04,Camilo
Banco Bci,M&A - Corporate Development Senior Analyst,2021-09-03,Camilo
AVLA,Subgerente Fusiones y Adquisiciones | VP M&A,2021-09-03,Camilo
Cruzados/Universidad Católica,Board Member,2021-09-02,Camilo
PwC Chile,Senior Associate,2021-09-01,Camilo
Deloitte,Valuation & Modelling Analyst,2021-09-01,Camilo
Vintage Investment Partners,Associate,2021-08-31,Camilo
Columbia Business School,MBA Candidate,2021-08-31,Camilo
Play Media,Associate Founder,2021-08-30,Camilo
Banchile Inversiones,Gerente de Operaciones y Tecnologia,2021-08-27,Camilo
ME ELECMETAL,Jefe de Finanzas Filiales Internacionales,2021-08-27,Camilo
Universidad de los Andes (CL),Lecturer of new trends in Law and Technology,2021-08-26,Camilo
Perroni - Marketing y Ventas,Socio fundador,2021-08-24,Camilo
Independencia Asset Management,Analista de Inversiones,2021-08-22,Camilo
Andes Solar S.A.,Abogada,2021-08-21,Camilo
Honorato Delaveau,Partner ,2021-08-19,Camilo
Barros & Errázuriz Abogados,Capital Markets Associate ,2021-08-18,Camilo
Lemontech,Sales Development Representative Inbound,2021-08-17,Camilo
Banchile Inversiones,Subgerente de Estrategia de Inversiones,2021-08-17,Camilo
BTG Pactual Chile,Asset Management Director,2021-08-16,Camilo
JetBrokers.io,Gerente comercial,2021-08-16,Camilo
IDB Invest,Associate,2021-08-12,Camilo
McKinsey & Company,Executive Recruiter,2021-08-12,Camilo
BTG Pactual,Associate Director - Multifamily Office (MFO),2021-08-12,Camilo
Partners Group,Real Estate Portfolio Management Analyst,2021-08-12,Camilo
Banchile Inversiones,Senior Investment Advisor - Wealth Management,2021-08-12,Camilo
Destacame,"Head de Tarjetas, Cuentas y Medios de Pago",2021-08-12,Camilo
Banchile Inversiones,Equity Portfolio Manager,2021-08-10,Camilo
Itaú Chile,Subgerente Banca Inmobiliaria,2021-08-10,Camilo
Comercial Hualle Meat SPa,Jefe comercial,2021-08-08,Camilo
The Legal Industry Reviews,Founder and Global Director  ,2021-08-06,Camilo
IE Business School,MBA Candidate,2021-08-05,Camilo
EFA - Empresas de Servicios Financieros A.G. Entidad Gremial,Board Member,2021-08-03,Camilo
EFA - Empresas de Servicios Financieros A.G. Entidad Gremial,Vicepresidente,2021-08-03,Camilo
Simpli Latam,Socio - Chief Revenue Officer,2021-07-30,Camilo
Coval Servicios Financieros ,GERENTE COMERCIAL,2021-07-30,Camilo
ASSET Chile,Vice President Investment Banking,2021-07-29,Camilo
Banchile Inversiones,Portfolio Manager de Renta Fija,2021-07-29,Camilo
Jooycar,Co-Founder & Board Member,2021-07-29,Camilo
Draftea,Chief of Staff & Finance Lead,2021-07-29,Camilo
Doctor NIC36,Fundador,2021-07-29,Camilo
Santo Tomás,Profesor Finanzas Corporativas Aplicadas,2021-07-29,Camilo
"University of California, Berkeley, Haas School of Business","MBA Candidate at UC Berkeley, Haas School of Business, Class of 2024",2021-07-28,Camilo
Banchile Inversiones,Gerente de Administración de Cartera,2021-07-28,Camilo
Banchile Inversiones,Portfolio Manager Activos Reales,2021-07-28,Camilo
Jooycar - Connected Car Platform,CEO & Co Founder,2021-07-28,Camilo
Wit innovacion y tecnologia,Gerente de Desarrollo de Negocios ,2021-07-25,Camilo
LSEG (London Stock Exchange Group),Index Sales Manager,2021-07-23,Camilo
Banca.Me,Co-Founder & CTO,2021-07-17,Camilo
Falabella,Analista Senior Falabella Ventures,2021-07-16,Camilo
Grupo Security,Gerente de Negocios,2021-07-16,Camilo
Mainstream Renewable Power,Project Finance Senior Associate,2021-07-16,Camilo
Explora,Analista de Planificación de Compras,2021-07-12,Camilo
GPS Property,Partner & CEO,2021-07-08,Camilo
Banchile Inversiones,Subgerente Private Wealth Management,2021-07-08,Camilo
Boston Consulting Group (BCG),Summer Consultant,2021-07-08,Camilo
TransaTuAuto,Tech Lead,2021-07-06,Camilo
Banchile Inversiones,Subgerente Administración de Cartera,2021-07-02,Camilo
Rezepka Desarrollo Inmobiliario,CEO,2021-07-02,Camilo
CobranzaOnline.com,Head Of Operations,2021-07-01,Camilo
Proyectos y Construcciones Tasco Ltda,Profesional de terreno,2021-06-30,Camilo
Pacific Hydro Chile,Analista de Finanzas Corporativas ,2021-06-29,Camilo
Cocha,CDO,2021-06-29,Camilo
EDM Wealth & Asset Management,Director - South America,2021-06-26,Camilo
Principal Financial Group,Financial Advisor,2021-06-26,Camilo
Empresas AquaChile,Subgerente Finanzas,2021-06-24,Camilo
Garrigues,Asociado Principal,2021-06-24,Camilo
Universidad Adolfo Ibañez,Secretaria Académica de la Facultad de Artes Liberales,2021-06-24,Camilo
Aquanima Grupo Santander,Analista Junior RRHH,2021-06-23,Camilo
HSBC,"Head of Global Banking, Chile",2021-06-20,Camilo
Ventus Partner,Consultora,2021-06-17,Camilo
Carey,Senior Associate,2021-06-17,Camilo
Barros & Errázuriz Abogados,Partner,2021-06-15,Camilo
Chubb,Subgerente de Desarrollo de Negocios DM,2021-06-15,Camilo
Benedictus Capital,Board Member,2021-06-15,Camilo
Columbia Business School,MBA Candidate,2021-06-15,Camilo
Esmax,Jefe de nuevos negocios,2021-06-14,Camilo
Grupo Security,Equity Research Analyst,2021-06-12,Camilo
Facultad de Economía y Negocios - Universidad de Chile,Director Económico y Administrativo FEN - UCHILE,2021-06-12,Camilo
Columbia Business School,MBA Candidate at Columbia Business School,2021-06-12,Camilo
SURA Investment Management,Asociado,2021-06-12,Camilo
BICE Inversiones,Wealth Management Associate,2021-06-12,Camilo
ARAUCO,Abogado Corporativo / Corporate Legal Counsel,2021-06-09,Camilo
Banchile Inversiones,Gerente Private Wealth Management,2021-06-09,Camilo
ACCIONA Energía,Director of Business Development - Mexico & Central America,2021-06-08,Camilo
Banchile Inversiones,Ingeniero Senior de Procesos,2021-06-08,Camilo
Bicentenario Capital,Founder & Executive Chairman,2021-06-05,Camilo
Banchile Inversiones,Gerente Gestion Para Las Personas (Gerente de Recursos Humanos),2021-06-05,Camilo
Pablo Aquí Ahora,"Fundador | Coach de Mentalidad, Desarrollo Personal y Manejo de Estrés",2021-06-03,Camilo
Bicentenario Capital,Subgerente de Inversiones y Finanzas,2021-06-02,Camilo
Banco de Chile,Subgerente Modelos Regulatorios,2021-05-29,Camilo
L Catterton,Vice President,2021-05-28,Camilo
CIFI,Abogado de Proyecto ,2021-05-27,Camilo
BTG Pactual,Products and Fund Research Director,2021-05-26,Camilo
Banchile Inversiones,"Portfolio Manager, LatAm Equities",2021-05-26,Camilo
Banchile Inversiones,Head of local equities,2021-05-26,Camilo
Bolsa Electrónica de Chile,Board Member,2021-05-26,Camilo
Macro Specialist Designation,Senior Research Analyst,2021-05-25,Camilo
Regcheq,Co-Founder Regcheck,2021-05-25,Camilo
Kredito,Co-founder & CEO,2021-05-25,Camilo
Garnham Abogados,Socio Tax,2021-05-25,Camilo
SARTOR Finance Group,Analista de Deuda Privada,2021-05-21,Camilo
Fitpass,Country Manager Chile y Perú,2021-05-20,Camilo
Total Abogados,Gerente de Administración y Finanzas,2021-05-20,Camilo
Wayfair,Senior Manager - Strategic Corporate Finance,2021-05-18,Camilo
Reversso,Co-founder & CEO @ Reversso,2021-05-18,Camilo
Qualitas Energy,Senior Investment Associate,2021-05-18,Camilo
Genesis Ventures,Co- Founder & Managing Partner,2021-05-18,Camilo
Banchile Inversiones,Jefe Transformacion Operaciones AGF,2021-05-18,Camilo
The AES Corporation,Mergers and Acquisitions,2021-05-14,Camilo
Riesco Repostería,CFO,2021-05-06,Camilo
Banco Santander Chile,Trader de Balance,2021-05-06,Camilo
VOLTA Chile,Asociada de Desarrollo Corporativo,2021-05-06,Camilo
Banchile Inversiones,Analista de inversiones,2021-05-06,Camilo
Ministerio de Economía de Chile,External Advisor,2021-05-04,Camilo
SQM,Analista M&A,2021-04-30,Camilo
 4TC For The Customer,COO,2021-04-28,Camilo
Empresa Constructora Pebal,Gerente de Desarrollo,2021-04-27,Camilo
Deloitte,Consultor de Riesgo Financiero,2021-04-27,Camilo
Gesaguas,Representante,2021-04-27,Camilo
Ameris Capital,Managing Partner Infrastructure,2021-04-27,Camilo
Comercial Castro y Yañez,Jefe de Administración y Cobranza,2021-04-23,Camilo
Columbia Business School,MBA Candidate,2021-04-22,Camilo
Banchile Inversiones,Portfolio Manager,2021-04-22,Camilo
VTR,Digital Campaigns Senior Manager,2021-04-21,Camilo
Zurich Insurance Company Ltd,Chief Investment Officer CIO Zurich Chile,2021-04-20,Camilo
Shipit SpA,CEO & Co-Founder,2021-04-17,Camilo
NERA Economic Consulting,Economic Analyst,2021-04-17,Camilo
 IFB Inversiones ,Director Ejecutivo,2021-04-16,Camilo
Patagonia Liveaboards,Co-Founder & CFO,2021-04-16,Camilo
Banchile Administradora General de Fondos,Subgerente Administracion Activos Reales,2021-04-16,Camilo
Assetplan,Jefe relacion Multifamily,2021-04-14,Camilo
CIFI,Chief Investment Officer (CIO),2021-04-12,Camilo
Paliativos Ahora,Miembro,2021-04-10,Camilo
BMI Servicios Inmobiliarios,Subgerente comercial,2021-04-08,Camilo
Stanford University Graduate School of Business,MBA Candidate,2021-04-08,Camilo
CIFI,Director - Structured & Corporate Finance,2021-04-08,Camilo
Castle Lanterra ,Director of Business Development,2021-04-08,Camilo
Foresta Chile,Director fundador,2021-04-07,Camilo
Rokin ,Founder & CEO,2021-04-07,Camilo
Rokin ,Co Founder,2021-04-07,Camilo
AllianceBernstein,"Regional Manager - Director - Brazil, Chile, Colombia and Peru",2021-04-07,Camilo
Cornershop by Uber,Strategy Lead,2021-04-07,Camilo
Principal Financial Group,Business Manager Financial Advisor,2021-04-02,Camilo
Águila Capital,Board Member,2021-03-31,Camilo
Abacum,FP&A Ops Analyst,2021-03-29,Camilo
Banchile Inversiones,Asesor Wealth Management ,2021-03-29,Camilo
BICE Inversiones,Investment Banking Associate ,2021-03-27,Camilo
Banchile Inversiones,Jefe de Distribución AGF,2021-03-27,Camilo
BTG Pactual Chile,FICC Macro Associate Director,2021-03-27,Camilo
Banchile Inversiones,Gerente de riesgo,2021-03-27,Camilo
CODELCO – Corporación Nacional del Cobre de Chile,Práctica Profesional,2021-03-27,Camilo
Banchile Administradora General de Fondos,Subgerente de Renta Fija Local,2021-03-27,Camilo
Valor Humano Latinoamerica,Recruitment Coordinator,2021-03-27,Camilo
FYNSA,Portfolio Manager Activos Alternativos,2021-03-26,Camilo
Kura Biotech,Chief Of Staff,2021-03-26,Camilo
Uber,"Marketplace Ops Lead, NV US&Can",2021-03-26,Camilo
Agrícola Coigue Grande Ltda,Subgerente Agrícola,2021-03-26,Camilo
Agroberries,Subgerente de Finanzas,2021-03-25,Camilo
Banchile Inversiones,Head Of Research AGF,2021-03-25,Camilo
Cornershop by Uber,Head of Fraud Prevention,2021-03-25,Camilo
Tanner,Emerging Market Credit,2021-03-25,Camilo
Wallapop,Trust & Safety Manager,2021-03-25,Camilo
Compass Group,Subgerente Distribución Institucional,2021-03-25,Camilo
Newfront,Software Engineer,2021-03-25,Camilo
SURA Investment Management,Senior Associate Institutional Distribution,2021-03-23,Camilo
eDarkstore,Product Owner,2021-03-21,Camilo
Columbia Business School,MBA candidate ,2021-03-18,Camilo
Lokal,Co-Founder & COO,2021-03-18,Camilo
Virtus Partners,Consultor Senior,2021-03-18,Camilo
Latin America Power | LAP,Subgerente de Finanzas Corporativas,2021-03-18,Camilo
CFB  HOMES,Director Ejecutivo,2021-03-18,Camilo
Banco Falabella Chile,Jefe Analytics (Customer Experience),2021-03-18,Camilo
Sodimac,Corporate Customer Experience Manager,2021-03-18,Camilo
EY,Consultor Senior ,2021-03-18,Camilo
AgroMatch,Cofundador,2021-03-18,Camilo
IE Business School,Candidato a Doble Título: International MBA & Master en Desarrollo Inmobiliario,2021-03-17,Camilo
Morgan Stanley,Managing Director | Head of Chile Investment Banking & Capital Markets,2021-03-17,Camilo
PwC,Corporate Finance Manager,2021-03-17,Camilo
FYNSA,CEO,2021-03-16,Camilo
Banchile Inversiones,Subgerente de Negocios Private Wealth Management,2021-03-15,Camilo
Esmax,Board Member,2021-03-15,Camilo
WOM Chile,Product Manager Business Transformation,2021-03-11,Camilo
Columbia Business School,MBA Candidate,2021-03-11,Camilo
King's College London,MPA Candidate,2021-03-10,Camilo
Lippi Outdoor,Gerente comercial,2021-03-09,Camilo
Xepelin,Co-Founder & CEO,2021-03-09,Camilo
Banca.Me,Co-Founder & CEO,2021-03-09,Camilo
Scharff,Advisory Board,2021-03-08,Camilo
Econsult,"Deputy Manager: Projects, Technology and Operations",2021-03-08,Camilo
Banchile Citi Global Markets,Investment Banking Associate,2021-03-07,Camilo
EBCO S.A.,Encargada de Sostenibilidad,2021-03-07,Camilo
Exportadora Rio Duero,Agrónomo Zonal Centro,2021-03-07,Camilo
South Andes Capital,Partner,2021-03-07,Camilo
BTG Pactual Chile,IAG Associate Director,2021-03-06,Camilo
Banco Santander Chile,Gestor de inversiones,2021-03-05,Camilo
Barros & Errázuriz Abogados,M&A & Corporate Group Associate ,2021-03-05,Camilo
Bci Asset Management,Portfolio Manager Activos Alternativos,2021-03-05,Camilo
Ignacio Vicuña Editor - Revista GolfSwing,Director Gerente,2021-03-05,Camilo
Multi X,Head of Investor Relations,2021-03-05,Camilo
Neltume Ports,M&A Project Engineer,2021-03-05,Camilo
Inmobiliaria Koyam,Subgerente de negocios,2021-03-05,Camilo
Labbe Ovalle Guglielmetti Abogados,Lawyer,2021-03-05,Camilo
Link Capital Partners,Lawyer,2021-03-05,Camilo
Banchile Inversiones,Subgerente de Negocios Private Wealth Management,2021-03-05,Camilo
CHEP,"Serialization+ Pricing Value Pool Lead, Sr. Manager",2021-03-05,Camilo
Fingo,Chief Operating Office,2021-03-04,Camilo
Grupo Central,Head of Investments & New Projects,2021-03-03,Camilo
COPEC S.A.,Jefe de Estudios,2021-03-03,Camilo
Apolix,Senior EMS Consultant,2021-03-02,Camilo
Gtd,Subgerente desarrollo comercial,2021-03-01,Camilo
Kapin Capital,Senior Associate,2021-03-01,Camilo
Inmobiliaria ISA CORP,Subgerente de Proyectos Inmobiliarios,2021-03-01,Camilo
Komax S.A.,Brand Manager Kivül & Stoked,2021-03-01,Camilo
Econsult,Vice President Investment Banking,2021-03-01,Camilo
Banco Bci,Asociado Finanzas Corporativas,2021-02-28,Camilo
Banchile Inversiones,Head of Equities,2021-02-28,Camilo
IESE Business School - University of Navarra,MBA Candidate,2021-02-28,Camilo
COPEC S.A.,Head of New Energies,2021-02-27,Camilo
Vicapital,Investment,2021-02-27,Camilo
Dentons Cardenas & Cardenas,Real Estate Practice Director,2021-02-27,Camilo
Ministerio de Obras Públicas,Advisor to the Minister of Public Works,2021-02-27,Camilo
COPEC S.A.,Jefe Negocios de Conveniencia,2021-02-27,Camilo
Diagnosis Biotech,Strategy Business Development,2021-02-27,Camilo
Compass Group,Asesor de Inversiones Senior,2021-02-27,Camilo
Buk Chile,Business Development Manager,2021-02-26,Camilo
London Business School,Candidata a MBA,2021-02-26,Camilo
NAI Sarrà,Sub Gerente General,2021-02-26,Camilo
Universidad de los Andes - Colombia,Professor of advance course on Structuring security packages in cross-border transactions,2021-02-26,Camilo
Parque Arauco,Subgerente de Desarrollo Corporativo,2021-02-26,Camilo
Spot AI,"Manager, Growth",2021-02-26,Camilo
Courtyard Ventures,Venture Partner,2021-02-26,Camilo
Google,Strategic Finance Analyst - Technical Infrastructure,2021-02-26,Camilo
Falabella Retail,Project Manager,2021-02-26,Camilo
"Oak Harbor Capital, LLC",Investment Analyst,2021-02-26,Camilo
Meta,Research Data Scientist,2021-02-26,Camilo
Empresas Ariztía,Subgerente de Pricing & Revenue Management,2021-02-26,Camilo
Accel-KKR,Private Equity Summer Intern,2021-02-26,Camilo
Acciona Capital,Managing Partner,2021-02-26,Camilo
Dentons Cardenas & Cardenas,Abogada Intermedio,2021-02-26,Camilo
ecert,Product Manager Grup,2021-02-26,Camilo
Atlas Renewable Energy,M&A Analyst,2021-02-26,Camilo
Fiduciary Co-investment Partners LLP,Principal Advisor,2021-02-26,Camilo
Toesca Asset Management,Private Credit,2021-02-26,Camilo
Stanford Health Care,Business Analyst - Market development,2021-02-26,Camilo
Columbia Business School,MBA Candidate,2021-02-26,Camilo
Xepelin,Head of Product,2021-02-26,Camilo
"PCCP, LLC",Summer Associate,2021-02-26,Camilo
COPEC S.A.,Jefe de Proyectos Logisticos,2021-02-26,Camilo
Falcom Asset Management,Portfolio Manager,2021-02-26,Camilo
Equans Chile,Jefe de innovación,2021-02-26,Camilo
Brain Food ,Senior Consultant,2021-02-26,Camilo
Empresas AquaChile,Jefe de Ingeniería y Proyectos Producción,2021-02-26,Camilo
Banco Bci,Institutional Relationship Manager,2021-02-26,Camilo
Marsol,Consultora,2021-02-26,Camilo
Northwestern University - Kellogg School of Management,MBA Candidate,2021-02-26,Camilo
ENGIE Chile,Senior Business Commercial Partner,2021-02-26,Camilo
London Business School,MBA Candidate at London Business School,2021-02-26,Camilo
Viña Concha y Toro,Brand Manager Ecnology,2021-02-26,Camilo
UCLA Anderson School of Management,MBA Candidate,2021-02-26,Camilo
Barcelona Technology School,Masters in Digital Product Management,2021-02-26,Camilo
Capitalizarme,Sourcing Manager,2021-02-26,Camilo
Racional,Chief Technology Officer,2021-02-26,Camilo
Columbia Business School,MBA Candidate,2021-02-26,Camilo
LATAM Airlines,Jefe Loyalty Insights,2021-02-26,Camilo
LarrainVial,Subgerente Distribución Institucional,2021-02-26,Camilo
BTG Pactual Chile,Investment Banking Director,2021-02-26,Camilo
MetLife Chile,Subgerente de Planificación y Estrategia Inmobiliaria,2021-02-26,Camilo
London Business School,MBA Candidate,2021-02-26,Camilo
Tempus Asset Management,Chief Commercial Officer,2021-02-25,Camilo
PwC Chile,Partner - M&A Transaction Services (Deals),2021-02-24,Camilo
Credicorp Capital Chile,Board Member,2021-02-24,Camilo
Inversiones Liguria Family Office,Portfolio Manager,2021-02-24,Camilo
Parque Arauco,Gerente Corporativo de Desarrollo,2021-02-24,Camilo
Numerix,Financial Software Developer,2021-02-23,Camilo
SH Desarrollo inmobiliario y gerenciamiento de proyectos SpA,Board Member,2021-02-23,Camilo
Esmax,Chief Real Estate Manager - Corporate Real Estate,2021-02-23,Camilo
HEC Paris MBA,MBA Candidate,2021-02-23,Camilo
ABASTIBLE S.A.,Subgerente de ventas,2021-02-23,Camilo
MBI Inversiones,Portfolio Manager - Alternative Assets  ,2021-02-23,Camilo
Minera Las Cenizas S.A.,Corporate Finance Analyst,2021-02-22,Camilo
LarrainVial,Jefe de Desarrollo de Negocios,2021-02-22,Camilo
MIT Sloan School of Management,MBA Candidate,2021-02-22,Camilo
Harvard Business School,MBA Candidate,2021-02-22,Camilo
ARAUCO,Subgerente de Construcción en Madera,2021-02-22,Camilo
CCU,Subgerente de Proyectos Logísticos,2021-02-22,Camilo
BMW Group,Head of F&I,2021-02-22,Camilo
Banchile Inversiones,Head Of Research,2021-02-21,Camilo
SURA Asset Management,Asesor Patrimonial,2021-02-21,Camilo
PROMET,Gerente de Administracion & Finanzas - CFO,2021-02-21,Camilo
LarrainVial,"Senior Investment Analyst, Latam Equities",2021-02-20,Camilo
Banchile Corredores Bolsa / Citi,Head of Institutional Sales & Trading,2021-02-20,Camilo
CFA Society Chile,Director suplente,2021-02-20,Camilo
Banchile Inversiones,Gerente Estrategias Balanceadas e Inversiones Alternativas,2021-02-20,Camilo
Banchile Inversiones,Chief Marketing and Transformation Officer,2021-02-19,Camilo
Banchile Inversiones,Gerente de Renta Fija,2021-02-19,Camilo
Banchile Inversiones,Analista Senior de Inversiones en Activos Reales,2021-02-19,Camilo
BICE Inversiones,Distribución Institucional,2021-02-19,Camilo
Falabella,Gerente de Proyecto - Estrategia Corp.,2021-02-19,Camilo
NEVASA,Portfolio Manager - Inversiones Inmobiliarias,2021-02-19,Camilo
Ardian,Board Member,2021-02-19,Camilo
AngloGold Ashanti,Full Geologist,2021-02-19,Camilo
BTG Pactual Asset Management,Illiquid AM Associate Director Real Estate,2021-02-18,Camilo
Inversiones Mubel SA,CEO,2021-02-18,Camilo
Banchile Inversiones,Gerente Wealth Management,2021-02-18,Camilo
Independencia Asset Management,Gerente de Finanzas Independencia Internacional AGF,2021-02-18,Camilo
Central Bank of Chile,Gerente División Riesgo Corporarivo,2021-02-17,Camilo
Banchile,Subgerente Inversiones Inmobiliarias,2021-02-17,Camilo
Banchile Inversiones,"Head of  Fixed Income, Currencies, and Commodities (FICC)",2021-02-17,Camilo
Banchile Inversiones,Global Equities Portfolio Manager,2021-02-17,Camilo
AMM CAPITAL,Gerente de Negocios Wealth Management ,2021-02-17,Camilo
Banchile Inversiones,Gerente Comercial,2021-02-17,Camilo
CFA Society Chile,Deputy Director,2021-02-17,Camilo
CMB Prime Infrastructure Fund,Private Equity Investment Associate,2021-02-17,Camilo
Inmobiliaria e Inversiones San Carlos,Asesor de Inversiones Independiente,2021-02-17,Camilo
CMB PRIME,Managing Partner,2021-02-17,Camilo
Banchile Inversiones,Jefe de Posicionamiento y Atracción de Talento ,2021-02-17,Camilo
Banchile Inversiones,Portfolio Manager,2021-02-17,Camilo
Banchile Inversiones,Gerente Wealth Management,2021-02-17,Camilo
Banchile,Gerente Inversiones Activos Reales & Inmobiliario,2021-02-17,Camilo
Banchile Inversiones,Chief Investment Officer,2021-02-17,Camilo
Citi,MBA Intern - Citi Ventures (Fintech Team),2021-02-17,Camilo
CCU,Business Development Deputy Manager,2021-02-17,Camilo
